"id","setor","subSetor","empName","ultBal","codigo","roic","cresRec5a","nAcoes","divBruta","disponib","ativCirc","ativos","patLiq","recLiq12m","ebit12m","LucLiq12m","recLiq3m","ebit3m","LucLiq3m","ultInsert","ultAt"
"1","Exploração de Imóveis",,"CIA HABITASUL PNA","2022-03-31","HBTS5","9.8","71.5","9133690","239226000","40439000","136329000","1361300000","476819000","288241000","128130000","193539000","56264000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"2","Máquinas e Equipamentos",,"METISA PN","2022-03-31","MTSA4","21.1","26.1","8789730","38531200","56043800","365259000","468995000","329552000","650025000","79128400","59916700","178296000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"3","Máquinas e Equipamentos",,"KEPLER WEBER SA ON","2022-03-31","KEPL3","40.7","23.3","89860000","60475000","1040770000","665048000","1040770000","493350000","1427590000","311362000","231067000","437595000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"4","Químicos",,"CRISTAL PNB","2022-03-31","CRPG6","21.8","12.1","29019000","2930000","137329000","672896000","876876000","876876000","937135000","205117000","209381000","210141000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"5","Siderurgia e Metalurgia",,"TEKNO PN","2022-03-31","TKNO4","18.7","25.4","2948000","15886000","57624000","212837000","353163000","245645000","332571000","49470000","68673000","79721000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"6","Tecidos, Vestuário e Calçados",,"SANTANENSE PN","2022-03-31","CTSA4","4.7","8.2","111299000","182085000","12721000","242034000","646101000","301441000","601617000","26643000","20900000","148902000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"7","Bancos",,"ITAÚSA PN N1","2022-03-31","ITSA4","1.8","13.6","8831360000","9878000000","4990000000","9392000000","85929000000","65555000000","8533000000","1407000000","13712000000","2131000000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"8","Petróleo, Gás e Biocombustíveis",,"PETROBRAS PN","2022-03-31","PETR4","24.9","9.4","13044500000","277418000000","87568000000","199512000000","998662000000","434194000000","508135000000","220200000000","150062000000","141641000000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"9","Máquinas e Equipamentos",,"WEG SA ON N1","2022-03-31","WEGE3","24.3","25.7","4197320000","3078720000","3264760000","16424200000","24169300000","12417600000","25314600000","4543290000","3765590000","6828110000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"10","Siderurgia e Metalurgia",,"USIMINAS PNA N1","2022-03-31","USIM5","31.5","28.4","1253080000","5550530000","6604130000","19652600000","39103600000","22934500000","34515800000","9364930000","9330140000","7844650000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
"11","Siderurgia e Metalurgia",,"METALÚRGICA GERDAU PN N1","2022-03-31","GOAU3","35.9","17.5","1087240000","12767600000","8376690000","34723600000","72354200000","14650200000","82332600000","20055800000","5231180000","20330500000",NULL,NULL,"2023-01-14 14:23:53","2023-01-14 14:23:53"
